DATE,FEDFUNDS
2008-01-01,2.61
2008-04-01,2.00
2008-07-01,1.81
2008-10-01,0.16
2009-01-01,0.18
2009-04-01,0.21
2009-07-01,0.15
2009-10-01,0.12
2010-01-01,0.16
2010-04-01,0.18
2010-07-01,0.19
2010-10-01,0.18
2011-01-01,0.14
2011-04-01,0.09
2011-07-01,0.08
2011-10-01,0.07
2012-01-01,0.13
2012-04-01,0.16
2012-07-01,0.14
2012-10-01,0.16
2013-01-01,0.14
2013-04-01,0.09
2013-07-01,0.08
2013-10-01,0.09
2014-01-01,0.08
2014-04-01,0.10
2014-07-01,0.09
2014-10-01,0.12
2015-01-01,0.11
2015-04-01,0.13
2015-07-01,0.14
2015-10-01,0.24
2016-01-01,0.36
2016-04-01,0.38
2016-07-01,0.40
2016-10-01,0.54
2017-01-01,0.79
2017-04-01,1.04
2017-07-01,1.15
2017-10-01,1.30
2018-01-01,1.51
2018-04-01,1.82
2018-07-01,1.95
2018-10-01,2.27
2019-01-01,2.41
2019-04-01,2.38
2019-07-01,2.04
2019-10-01,1.55
2020-01-01,0.65
2020-04-01,0.08
2020-07-01,0.09
2020-10-01,0.09
2021-01-01,0.07
2021-04-01,0.08
2021-07-01,0.08
2021-10-01,0.08
2022-01-01,0.20
2022-04-01,1.21
2022-07-01,2.56
2022-10-01,4.10
2023-01-01,4.65
